Kategori,Score interval,Felt,Tekst
Overordnet niveau,0-25,Niveaunavn,Tidlig fase
Overordnet niveau,26-50,Niveaunavn,På vej
Overordnet niveau,51-75,Niveaunavn,Struktureret
Overordnet niveau,76-100,Niveaunavn,Avanceret
Beskrivelse under score,0-25,Beskrivelse,ESG-arbejdet er endnu ikke struktureret i jeres virksomhed. I har et godt udgangspunkt for at opbygge et solidt fundament fra bunden.
Beskrivelse under score,26-50,Beskrivelse,I har taget de første skridt med ESG. Nu handler det om at systematisere indsatsen og skabe sammenhæng på tværs af dimensionerne.
Beskrivelse under score,51-75,Beskrivelse,I arbejder aktivt og struktureret med ESG. Der er basis for at løfte indsatsen til næste niveau og integrere ESG endnu dybere i organisationen.
Beskrivelse under score,76-100,Beskrivelse,ESG er dybt integreret i jeres organisation. I er godt positioneret til at styrke jeres position og kommunikere ESG med høj troværdighed.
Dimension-niveau,0-10,Niveaunavn,Ikke påbegyndt
Dimension-niveau,11-15,Niveaunavn,Tidlig fase
Dimension-niveau,16-20,Niveaunavn,Under udvikling
Dimension-niveau,21-25,Niveaunavn,Modent niveau
Dimension-tekst,0-10,Tekst (brug [dimension] som pladsholder),Der er endnu ikke sat en struktureret ramme op for hvordan din organisation bliver [dimension]. Dette er et oplagt startpunkt for at skabe fundamentet.
Dimension-tekst,11-15,Tekst (brug [dimension] som pladsholder),I er begyndt at forberede jer på at blive [dimension] men indsatsen er stadig fragmenteret og mangler en samlet struktur.
Dimension-tekst,16-20,Tekst (brug [dimension] som pladsholder),I arbejder aktivt med at blive [dimension] men der er stadig vigtige elementer som mangler at blive implementeret fuldt ud.
Dimension-tekst,21-25,Tekst (brug [dimension] som pladsholder),Når det handler om at blive [dimension] er jeres virksomhed kommet langt. Derfor har I et stærkt fundament at bygge videre på.
Næste skridt - Titel,0-25,Titel,Byg fundamentet
Næste skridt - Titel,26-50,Titel,Strukturér og systematisér
Næste skridt - Titel,51-75,Titel,Løft til næste niveau
Næste skridt - Titel,76-100,Titel,Stå frem som ESG-frontløber
ESG parat - Anbefaling,0-10,Anbefaling 1,Kortlæg virksomhedens væsentligste miljø- og sociale påvirkninger som første skridt
ESG parat - Anbefaling,0-10,Anbefaling 2,Udpeg en ESG-ansvarlig og definer 3 konkrete startmål
ESG parat - Anbefaling,11-15,Anbefaling 1,Formalisér jeres ESG-program med målbare indsatser baseret på væsentlighed
ESG parat - Anbefaling,11-15,Anbefaling 2,Start systematisk dataindsamling på jeres vigtigste ESG-parametre
ESG parat - Anbefaling,16-20,Anbefaling 1,Styrk jeres ESG-datafundament og dokumentation til ekstern brug
ESG parat - Anbefaling,16-20,Anbefaling 2,Integrer ESG-mål i den løbende forretningsstrategi og budgettering
ESG parat - Anbefaling,21-25,Anbefaling 1,Overvej ekstern validering eller certificering af jeres ESG-indsats
ESG parat - Anbefaling,21-25,Anbefaling 2,Del best practices med leverandører og branchepartnere om ESG
